run_name,model_family,run_dir,source_kind,source_path,config_path,workspace_cfg,backbone,model_name,selected_epoch,selected_step,num_sources_found,epe,1px,3px,5px,epe_occ,epe_noc,epe_nonocc,epe_flat,epe_line,epe_s<10,epe_s10-50,epe_s>50,train_root,val_root,variant,checkpoint
ablation_01_baseline,AniFlowFormerT,outputs/ablation_01_baseline,missing_metrics,,outputs/ablation_01_baseline/config.yaml,outputs/ablation_01_baseline,,AniFlowFormerT,,,0,,,,,,,,,,,,,data/AnimeRun_v2/,data/AnimeRun_v2/,,
animerun_sam_v2,AniFlowFormerT,workspaces/animerun_sam_v2,missing_metrics,,workspaces/animerun_sam_v2/config.yaml,workspaces/animerun_sam_v2,,AniFlowFormerT,,,0,,,,,,,,,,,,,data/AnimeRun_v2/,data/AnimeRun_v2/,,
animerun_unsup_lite,AniFlowFormerT,outputs/animerun_unsup_lite,missing_metrics,,outputs/animerun_unsup_lite/config.yaml,outputs/animerun_unsup_lite,,AniFlowFormerT,,,0,,,,,,,,,,,,,data/AnimeRun_v2/,data/AnimeRun_v2/,,
animerun_with_sam,AniFlowFormerT,workspaces/animerun_with_sam,missing_metrics,,workspaces/animerun_with_sam/config.yaml,workspaces/animerun_with_sam,,AniFlowFormerT,,,0,,,,,,,,,,,,,data/AnimeRun_v2/,data/AnimeRun_v2/,,
flow_collapse_fix,AniFlowFormerT,workspaces/flow_collapse_fix,missing_metrics,,workspaces/flow_collapse_fix/config.yaml,workspaces/flow_collapse_fix,,AniFlowFormerT,,,0,,,,,,,,,,,,,data/AnimeRun_v2/,data/AnimeRun_v2/,,
global_matching_v1,AniFlowFormerT,workspaces/global_matching_v1,missing_metrics,,workspaces/global_matching_v1/config.yaml,workspaces/global_matching_v1,,AniFlowFormerT,,,0,,,,,,,,,,,,,data/AnimeRun_v2/,data/AnimeRun_v2/,,
global_matching_v3,AniFlowFormerTV3,workspaces/global_matching_v3,missing_metrics,,workspaces/global_matching_v3/config.yaml,workspaces/global_matching_v3,,AniFlowFormerTV3,,,0,,,,,,,,,,,,,data/AnimeRun_v2/,data/AnimeRun_v2/,,
ddflow_unsup_animerun,DDFlow,work_dirs/ddflow_unsup_animerun,tensorboard,work_dirs/ddflow_unsup_animerun/tb/events.out.tfevents.1770371009.ldtan.2671741.0,,,,,53,53,1,11.534436225891113,0.20802685618400574,0.4074691832065582,,,,,,,,,,,,,
animerun_unsup_mdflow,MDFlow,outputs/animerun_unsup_mdflow,tensorboard,outputs/animerun_unsup_mdflow/tb_animerun_mdflow/events.out.tfevents.1770537688.ldtan.3842051.0,outputs/animerun_unsup_mdflow/config.yaml,outputs/animerun_unsup_mdflow,,FastFlowNet,5,5,1,22.931962966918945,0.008028848096728325,0.06646006554365158,0.1546570062637329,52.96923828125,20.9520206451416,,,,,,,data/AnimeRun_v2/,data/AnimeRun_v2/,,
segment_aware_unsup,SegmentAware,outputs/segment_aware_unsup,missing_metrics,,outputs/segment_aware_unsup/config.yaml,outputs/segment_aware_unsup,,AniFlowFormerT,,,0,,,,,,,,,,,,,data/AnimeRun_v2/,data/AnimeRun_v2/,,
segment_aware_unsup_v2,SegmentAware,outputs/segment_aware_unsup_v2,missing_metrics,,outputs/segment_aware_unsup_v2/config.yaml,outputs/segment_aware_unsup_v2,,AniFlowFormerT,,,0,,,,,,,,,,,,,data/AnimeRun_v2/,data/AnimeRun_v2/,,
upflow_animerun_smoke2,UPFlow,workspaces/upflow_animerun_smoke2,metrics_json,workspaces/upflow_animerun_smoke2/metrics_eval_script_smoke.json,,,,,,,4,2.6010470390319824,0.2158203125,0.8555908203125,0.8919677734375,6.145680904388428,,2.2327795028686523,2.0975019931793213,3.966573476791382,1.8327479362487793,15.665508270263672,nan,,,,
